time	V(input)	V(output1)	V(output2)
2.615777631941878e-003	-1.297392e+000	-6.486961e-001	-1.037914e+000
2.665777631941878e-003	-1.696198e+000	-8.480988e-001	-1.356958e+000
2.702114864116484e-003	-1.898667e+000	-9.493334e-001	-1.518933e+000
2.719156694121221e-003	-1.956943e+000	-9.784716e-001	-1.565554e+000
2.736192528012104e-003	-1.985383e+000	-9.926916e-001	-1.588307e+000
2.757381993026423e-003	-1.989655e+000	-9.948273e-001	-1.591724e+000
2.777018573152349e-003	-1.959149e+000	-9.795747e-001	-1.567319e+000
2.808913419838924e-003	-1.835803e+000	-9.179016e-001	-1.468643e+000
2.858913419838924e-003	-1.511770e+000	-7.558852e-001	-1.209416e+000
2.908913419838924e-003	-1.056651e+000	-5.283253e-001	-8.453204e-001
2.958913419838924e-003	-4.980984e-001	-2.490492e-001	-3.984787e-001
3.008913419838924e-003	1.092112e-001	5.460558e-002	8.736894e-002
3.058913419838924e-003	7.058303e-001	3.529152e-001	5.646643e-001
3.108913419838925e-003	1.233358e+000	6.166790e-001	9.866863e-001
3.158913419838925e-003	1.648333e+000	8.241664e-001	1.318666e+000
3.199443093438072e-003	1.886740e+000	9.433702e-001	1.509392e+000
3.217158734449202e-003	1.951889e+000	9.759443e-001	1.561511e+000
3.233786017965679e-003	1.984419e+000	9.922094e-001	1.587535e+000
3.249764104424252e-003	1.995224e+000	9.976120e-001	1.596179e+000
3.264912321931541e-003	1.984000e+000	9.920002e-001	1.587200e+000
3.289268306573261e-003	1.921270e+000	9.606350e-001	1.537016e+000
3.328691740976154e-003	1.726864e+000	8.634322e-001	1.381492e+000
3.378691740976154e-003	1.347236e+000	6.736179e-001	1.077789e+000
3.428691740976154e-003	8.452026e-001	4.226013e-001	6.761621e-001
3.478691740976155e-003	2.604351e-001	1.302175e-001	2.083481e-001
3.528691740976155e-003	-3.498257e-001	-1.749128e-001	-2.798606e-001
3.578691740976155e-003	-9.258431e-001	-4.629215e-001	-7.406744e-001
3.628691740976155e-003	-1.411232e+000	-7.056162e-001	-1.128986e+000
3.678691740976155e-003	-1.778078e+000	-8.890391e-001	-1.422462e+000
3.707040153364645e-003	-1.919133e+000	-9.595663e-001	-1.535306e+000
3.722853164984772e-003	-1.965498e+000	-9.827492e-001	-1.572399e+000
3.740667150440340e-003	-1.989246e+000	-9.946231e-001	-1.591397e+000
3.761527792629977e-003	-1.985639e+000	-9.928197e-001	-1.588511e+000
3.783764586765999e-003	-1.939836e+000	-9.699182e-001	-1.551869e+000
3.819820722495496e-003	-1.779045e+000	-8.895226e-001	-1.423236e+000
3.869820722495497e-003	-1.423763e+000	-7.118813e-001	-1.139010e+000
3.919820722495497e-003	-9.418539e-001	-4.709270e-001	-7.534832e-001
3.969820722495496e-003	-3.677501e-001	-1.838751e-001	-2.942001e-001
4.019820722495496e-003	2.423517e-001	1.211758e-001	1.938813e-001
4.069820722495496e-003	8.287303e-001	4.143652e-001	6.629843e-001
4.119820722495496e-003	1.333987e+000	6.669936e-001	1.067190e+000
4.169820722495495e-003	1.722999e+000	8.614995e-001	1.378399e+000
4.203669490197008e-003	1.905342e+000	9.526712e-001	1.524274e+000
4.220321637233249e-003	1.959751e+000	9.798754e-001	1.567801e+000
4.237599679986814e-003	1.986190e+000	9.930948e-001	1.588952e+000
4.260383150311802e-003	1.986102e+000	9.930510e-001	1.588882e+000
4.281902449231924e-003	1.945549e+000	9.727746e-001	1.556439e+000
4.316813385323852e-003	1.795521e+000	8.977603e-001	1.436416e+000
4.366813385323852e-003	1.448713e+000	7.243567e-001	1.158971e+000
4.416813385323851e-003	9.739702e-001	4.869851e-001	7.791762e-001
4.466813385323851e-003	4.038880e-001	2.019440e-001	3.231104e-001
4.516813385323851e-003	-2.057296e-001	-1.028648e-001	-1.645837e-001
4.566813385323850e-003	-7.952089e-001	-3.976045e-001	-6.361672e-001
4.616813385323850e-003	-1.306848e+000	-6.534238e-001	-1.045478e+000
4.666813385323850e-003	-1.703163e+000	-8.515815e-001	-1.362530e+000
4.702514374019237e-003	-1.900401e+000	-9.502006e-001	-1.520321e+000
4.719455898147441e-003	-1.957674e+000	-9.788371e-001	-1.566139e+000
4.736553666157208e-003	-1.984987e+000	-9.924934e-001	-1.587989e+000
4.759992199681356e-003	-1.986250e+000	-9.931249e-001	-1.589000e+000
4.781266360213169e-003	-1.947434e+000	-9.737171e-001	-1.557947e+000
4.815785474220522e-003	-1.801009e+000	-9.005044e-001	-1.440807e+000
4.865785474220521e-003	-1.457124e+000	-7.285618e-001	-1.165699e+000
4.915785474220521e-003	-9.848684e-001	-4.924342e-001	-7.878947e-001
4.965785474220521e-003	-4.162075e-001	-2.081038e-001	-3.329660e-001
5.015785474220521e-003	1.931946e-001	9.659732e-002	1.545557e-001
5.065785474220520e-003	7.836856e-001	3.918428e-001	6.269485e-001
5.115785474220520e-003	1.297464e+000	6.487319e-001	1.037971e+000
5.165785474220520e-003	1.696251e+000	8.481253e-001	1.357000e+000
5.202117892394662e-003	1.898680e+000	9.493400e-001	1.518944e+000
5.219158961650173e-003	1.956949e+000	9.784744e-001	1.565559e+000
5.236195264188674e-003	1.985386e+000	9.926928e-001	1.588309e+000
5.257385371022823e-003	1.989652e+000	9.948258e-001	1.591721e+000
5.277024071322794e-003	1.959135e+000	9.795676e-001	1.567308e+000
5.308922322941358e-003	1.835760e+000	9.178801e-001	1.468608e+000
5.358922322941358e-003	1.511701e+000	7.558507e-001	1.209361e+000
5.408922322941358e-003	1.056559e+000	5.282794e-001	8.452470e-001
5.458922322941357e-003	4.979928e-001	2.489964e-001	3.983943e-001
5.508922322941357e-003	-1.093201e-001	-5.466007e-002	-8.745611e-002
5.558922322941357e-003	-7.059321e-001	-3.529660e-001	-5.647457e-001
5.608922322941357e-003	-1.233442e+000	-6.167212e-001	-9.867540e-001
5.658922322941356e-003	-1.648397e+000	-8.241984e-001	-1.318717e+000
5.699446587885580e-003	-1.886756e+000	-9.433782e-001	-1.509405e+000
5.717161344134370e-003	-1.951895e+000	-9.759477e-001	-1.561516e+000
5.733789155469332e-003	-1.984421e+000	-9.922107e-001	-1.587537e+000
5.749770742497614e-003	-1.995224e+000	-9.976122e-001	-1.596179e+000
5.764914789184855e-003	-1.983999e+000	-9.919996e-001	-1.587199e+000
5.789272317246628e-003	-1.921256e+000	-9.606278e-001	-1.537004e+000
5.828698195307681e-003	-1.726825e+000	-8.634123e-001	-1.381460e+000
5.878698195307681e-003	-1.347179e+000	-6.735893e-001	-1.077743e+000
5.928698195307680e-003	-8.451313e-001	-4.225656e-001	-6.761051e-001
5.978698195307680e-003	-2.603567e-001	-1.301783e-001	-2.082853e-001
6.028698195307680e-003	3.499035e-001	1.749518e-001	2.799228e-001
6.078698195307679e-003	9.259127e-001	4.629564e-001	7.407302e-001
6.128698195307679e-003	1.411287e+000	7.056435e-001	1.129030e+000
6.178698195307679e-003	1.778116e+000	8.890582e-001	1.422493e+000
6.207042588600851e-003	1.919142e+000	9.595711e-001	1.535314e+000
6.222854996720471e-003	1.965502e+000	9.827511e-001	1.572402e+000
6.240669374552951e-003	1.989248e+000	9.946240e-001	1.591398e+000
